['CONST', 'CONST', '-1']
['IDENTIFIER', 'id', 'a']
['EQUAL', '=', '-1']
['NUMBER', 'num', '10']
['SEMICOLON', ';', '-1']
['VAR', 'VAR', '-1']
['IDENTIFIER', 'id', 'b']
['COMMA', ',', '-1']
['IDENTIFIER', 'id', 'c']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'procedure']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'c']
['ASSIGN', ':=', '-1']
['IDENTIFIER', 'id', 'b']
['PLUS', '+', '-1']
['IDENTIFIER', 'id', 'a']
['END', 'END', '-1']
['SEMICOLON', ';', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'read']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'b']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['WHILE', 'WHILE', '-1']
['IDENTIFIER', 'id', 'b']
['NUMBER', 'num', '0']
['DO', 'DO', '-1']
['BEGIN', 'BEGIN', '-1']
['IDENTIFIER', 'id', 'call']
['IDENTIFIER', 'id', 'p']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'write']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'c']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['IDENTIFIER', 'id', 'read']
['LEFT_PARENTHESES', '(', '-1']
['IDENTIFIER', 'id', 'b']
['RIGHT_PARENTHESES', ')', '-1']
['SEMICOLON', ';', '-1']
['END', 'END', '-1']
['END', 'END', '-1']
['DOT', '.', '-1']
